started_at;ended_at;duration;start_station_id;start_station_name;start_station_description;start_station_latitude;start_station_longitude;end_station_id;end_station_name;end_station_description;end_station_latitude;end_station_longitude
2022-05-01 04:46:46.481000+00:00;2022-05-01 05:05:27.532000+00:00;1121;581;Jordalgata;ved Galgeberg busstopp;59.908227;10.781088;502;Ullevål sykehus;langs Kirkeveien;59.9360307;10.7364516
2022-05-01 04:47:36.334000+00:00;2022-05-01 05:04:02.425000+00:00;986;612;Ensjøveien;ved turvei;59.91662195885618;10.783309055819714;502;Ullevål sykehus;langs Kirkeveien;59.9360307;10.7364516
2022-05-01 04:53:50.115000+00:00;2022-05-01 05:01:51.552000+00:00;481;540;Lilleborgbanen;langs Ole Bulls gate;59.93363159074286;10.769118139881124;502;Ullevål sykehus;langs Kirkeveien;59.9360307;10.7364516
2022-05-01 04:55:17.889000+00:00;2022-05-01 05:05:51.100000+00:00;633;614;Sinsen T-bane;langs Hans Nielsen Hauges gate;59.938863086921295;10.780603250331886;500;Anker Hotel;langs Storgata;59.9172794;10.7581553
2022-05-01 04:59:25.290000+00:00;2022-05-01 05:02:37.691000+00:00;192;435;Fram-gården;langs Bygdøy Allé;59.915424;10.714577;511;Henrik Ibsens gate;ved Parkveien;59.915088;10.7222803
2022-05-01 04:59:40.365000+00:00;2022-05-01 05:08:51.761000+00:00;551;425;Adamstuen;ved trikkestoppen;59.932792;10.734457;406;Carl Berners plass sør;langs Finnmarkgata;59.92507;10.775996
2022-05-01 05:00:03.369000+00:00;2022-05-01 05:07:38.122000+00:00;454;499;Bjerregaards gate;ovenfor Fredrikke Qvams gate;59.925488;10.746058;446;Bislett Stadion;ved rundkjøringen;59.925471317049954;10.73121932213806
2022-05-01 05:03:05.524000+00:00;2022-05-01 05:09:17.286000+00:00;371;421;Alexander Kiellands Plass;langs Maridalsveien;59.92806670615684;10.751202636819613;448;Oslo Plaza;ved rundkjøringen;59.91218291295141;10.7544337247013
2022-05-01 05:04:10.586000+00:00;2022-05-01 05:05:42.585000+00:00;91;2328;The Hub;Mellom Oslo City og The Hub hotel;59.912522370233745;10.750910185807754;2328;The Hub;Mellom Oslo City og The Hub hotel;59.912522370233745;10.750910185807754
2022-05-01 05:06:47.648000+00:00;2022-05-01 05:12:03.005000+00:00;315;423;Schous plass;nærmest rundkjøringen;59.920335;10.760804;460;Botanisk Hage sør;langs Jens Bjelkes gate;59.915417698024385;10.76933022142641
2022-05-01 05:07:24.783000+00:00;2022-05-01 05:18:29.136000+00:00;664;2307;Domus Athletica;ved Vestgrensa Studentby;59.946219381760216;10.724626314653563;531;Monolittveien;like ved Smestaddammen;59.935947;10.681138
